Date,f_GSP,f_NDAQ,f_OPEC,f_TREASURY
15/12/2017,0.013114619,-0.002168921,0.022954092,0.051724138
14/12/2017,0.014419893,0.006731013,0.033261979,0.06779661
13/12/2017,0.007655941,0.004055767,0.017578446,-0.024793388
12/12/2017,-0.002141322,-0.01525,-0.006834825,-0.017241379
11/12/2017,-0.003069865,-0.021016864,-0.025765678,0.01754386
08/12/2017,-0.001769181,-0.008356546,-0.00540452,0.035087719
07/12/2017,0.000665951,-0.00050923,-0.004416094,0.034188034
06/12/2017,0.012855247,0.019109103,0.002283477,0
05/12/2017,0.015199873,0.022973671,0.003251504,-0.008695652
04/12/2017,0.01813561,0.024062096,-0.009409474,0
01/12/2017,0.009906511,0.015380638,0,0.00862069
30/11/2017,0.014626348,0.0156878,0.003601244,0.008695652
29/11/2017,0.008501642,0.016853193,0.016862291,0.055045872
28/11/2017,0.007541794,0.016447368,0.021713907,0.055555556
27/11/2017,0.009378379,0.015394737,0.020701169,0.074074074
24/11/2017,0.011512191,0.017252733,0.018506169,0.064814815
23/11/2017,0.001702997,0.02097995,0.011707643,0.028301887
22/11/2017,0.001702997,0.02097995,-0.003139458,0.028301887
21/11/2017,0.000900475,0.031368821,-0.022360046,0.009345794
20/11/2017,0.002116132,0.034309054,-0.031174285,0.018867925
17/11/2017,-0.007499961,0.046444322,-0.03095624,0.009345794
16/11/2017,-0.003801082,0.05338325,-0.017691933,0.00952381
15/11/2017,-0.002804665,0.050278552,-0.012888674,0.019047619
14/11/2017,-0.001998091,0.018692883,0.014585382,0.029126214
13/11/2017,0.001041934,0.008756328,0.043640054,0.049019608
10/11/2017,0.005784118,0.005529444,0.054063302,0.029411765
09/11/2017,0.002876228,-0.013694878,0.048302652,-0.009433962
08/11/2017,0.005877313,-0.005939227,0.042542286,0.04040404
07/11/2017,0.003914305,0.001521649,0.014587266,0.051546392
06/11/2017,0.003731179,0.007018993,0.015638575,0.040816327
03/11/2017,0.007531014,-0.002754442,0.048892826,0.070707071
02/11/2017,0.003405389,-0.000825196,0.039055565,-0.01980198
01/11/2017,0.001623492,-0.018305085,0.04821011,-0.03
31/10/2017,0.001159778,-0.00740944,0.031916801,-0.02
30/10/2017,-0.002788718,-0.009997261,0.018769175,0
27/10/2017,0.001472552,-0.0201542,0.014589337,0.02020202
26/10/2017,0.002442496,-0.016470273,-0.009444048,0.01010101
25/10/2017,0.003054197,-0.009435234,-0.001074691,0.01010101
24/10/2017,0.007685135,-0.019101426,-0.005920344,0.020618557
23/10/2017,0.002519975,-0.02486631,0.007256894,0.020618557
20/10/2017,0.003282606,-0.014661207,0.030859662,0
19/10/2017,0.003426618,0.000669703,0.023652365,-0.048076923
18/10/2017,0.002999973,-0.003093893,0.027844367,-0.058252427
17/10/2017,0.000697659,0.011428571,0.026443203,-0.058252427
16/10/2017,0.001370003,-0.036279429,-0.000550762,-0.029411765
13/10/2017,0.005659462,-0.027016596,-0.001464665,0.04
12/10/2017,0.006773253,-0.038431777,0.005562767,0.01980198
11/10/2017,0.005686943,-0.040195826,-0.010685335,0.084210526
10/10/2017,0.011157425,-0.048538689,-0.002380952,0.0625
09/10/2017,0.0167772,0.001031327,-0.010507246,0.030927835
06/10/2017,0.013713336,0.006095979,-0.029861486,0.030927835
05/10/2017,0.012495546,0.011579495,-0.03192438,0.02020202
04/10/2017,0.011227369,0.004130631,-0.032429559,-0.010416667
03/10/2017,0.00799003,0.014915609,-0.007551241,-0.010309278
02/10/2017,0.005125658,0.020373291,0.013676149,0
29/09/2017,-4.78E-05,0.003904725,0.027111193,0
28/09/2017,-0.003989086,0.006324944,0.043840178,-0.020408163
27/09/2017,-0.003842373,0.024442083,0.03363687,0
26/09/2017,-0.000115884,0.021521187,0.019709929,0.010416667
25/09/2017,0.001975502,0.018332664,0.017710664,0.010204082
22/09/2017,0.005483893,0.0322841,0.0080179,-0.01010101
21/09/2017,0.005116505,0.018822587,0.016817838,-0.02020202
20/09/2017,0.004787515,0.016102842,0.032642089,-0.03030303
19/09/2017,0.010389894,0.001473741,0.035121575,0.010309278
18/09/2017,0.013552686,0.012881356,0.020940415,0.03125
15/09/2017,0.0122809,0.007006198,0.008384146,0.010204082
14/09/2017,0.013251685,0.00522508,0.00076864,-0.048076923
13/09/2017,0.007189264,-0.015921454,0.016277702,-0.253846154
12/09/2017,-0.005249715,-0.014970853,0.043089754,0
11/09/2017,0.000994945,-0.01928961,0.056360709,0.031578947
08/09/2017,0.007963786,-0.012774451,0.054294976,0.083333333
07/09/2017,0.010654128,-0.009982697,0.031977333,0.354166667
06/09/2017,0.011931231,-0.008289474,0.017168249,-0.03030303
05/09/2017,0.011015536,0.001727575,-0.003610108,-0.04040404
04/09/2017,0.003954476,-0.010803689,-0.011415982,-0.020408163
01/09/2017,0.003954476,-0.010803689,-0.007033762,-0.020408163
31/08/2017,0.000580847,-0.012084592,0.000404122,-0.020408163
30/08/2017,0.004310221,0.000661551,0.007272727,0.064516129
29/08/2017,0.007235622,0.011348465,0.002610442,0.042105263
28/08/2017,0.004667125,-0.015631157,0.018419975,0.010309278
25/08/2017,-0.007677785,-0.017650876,0.029540254,0.031578947
24/08/2017,-0.006529897,-0.011125485,0.01663586,-0.041237113
23/08/2017,-0.016320515,-0.023349332,0.027863777,-0.020618557
22/08/2017,-0.011979829,-0.013823065,-0.012131015,0.021052632
21/08/2017,-0.004518566,0.00157563,-0.02633178,-0.04040404
18/08/2017,0.001107416,0.014336446,-0.03964497,-0.049019608
17/08/2017,-0.00030016,0.028861571,-0.040213946,-0.03960396
16/08/2017,-0.005047713,0.022772673,-0.020594059,-0.05
15/08/2017,-0.014460144,0.003055666,-0.01378346,0
14/08/2017,-0.015612344,0.005562914,0.014811849,0.02
11/08/2017,-0.000811783,0.022254994,0.004377238,0.01
10/08/2017,-0.002201276,0.006554307,0.015075377,-0.019607843
09/08/2017,0.001538008,0.007792557,0.009070752,-0.01
08/08/2017,0.00035954,0.00886501,-0.00020012,0
07/08/2017,0.001231127,0.010360603,0.016174687,0
04/08/2017,-0.002090375,0.002281879,0.017798691,0.00990099
03/08/2017,-0.001459655,0.071961009,0.022675737,-0.019607843
02/08/2017,-0.003059026,0.018348624,0.060708979,0.041666667
01/08/2017,2.43E-05,0.027351844,0.074983699,0
31/07/2017,0.003250385,0.033078527,0.040221324,0.01
28/07/2017,0.000916964,0.036619326,0.021693345,0.02
27/07/2017,0.005389857,0.014504881,0.005549626,-0.03030303
26/07/2017,0.00571282,0.01793722,-0.009472551,0.052631579
25/07/2017,0.005301891,0.02421853,0.004059829,0.052631579
24/07/2017,0.009917727,0.009956528,0.023275862,0.075268817
21/07/2017,0.01179559,0.004335664,0.026062199,0.042105263
20/07/2017,0.010206343,0.007446958,0.009343764,0.010638298
19/07/2017,0.013096504,0.002664797,0.044876088,-0.020618557
18/07/2017,0.014336918,-0.006431767,0.036408309,-0.021052632
17/07/2017,0.014215793,0.001960784,0.012192419,0.010638298
14/07/2017,0.008174372,-0.002935421,-0.010748065,-0.010526316
13/07/2017,-0.002159801,-0.006834984,-0.047831633,0
12/07/2017,-0.001628698,-0.00237729,-0.058860626,-0.010416667
11/07/2017,-0.001654907,0.000698519,-0.043671825,0.119047619
10/07/2017,-0.013359879,-0.010277778,0.019504712,0.079545455
07/07/2017,0.001581093,0.01043135,0.037037037,0.08988764
06/07/2017,-0.003008652,0.018189569,0.069469424,0.078651685
05/07/2017,-0.00814883,0.022308022,0.066470721,0.037037037
04/07/2017,-0.006140472,0.026840821,0.057719054,0.157894737
03/07/2017,-0.006140472,0.026840821,0.054393305,0.157894737
30/06/2017,0.001349799,0.026806193,0.044621888,0.1125
29/06/2017,-0.008170425,0.003977273,0.025266574,0.047058824
28/06/2017,-0.004729257,-0.009161381,-0.017312073,-0.079545455
27/06/2017,-0.001739985,-0.021705643,-0.032388664,-0.105882353
26/06/2017,0.00134088,-0.014318117,-0.044863167,-0.058823529
23/06/2017,0.004731658,-0.015662481,-0.027940514,-0.011627907
22/06/2017,-0.002749872,-0.010838964,-0.027900797,-0.022222222
21/06/2017,0.007932995,0.009364359,-0.033688329,-0.04494382
20/06/2017,0.002996851,0.009934715,-0.029603831,0.036585366
19/06/2017,-0.001613001,0.001977122,-0.024400967,0.075
16/06/2017,0.001499382,0.020686683,-0.013543032,0.125
15/06/2017,0.003421052,0.04304056,-0.016460026,0.05952381
14/06/2017,-0.00104033,0.039574719,-0.02213708,-0.012048193
13/06/2017,-0.002485858,0.04488224,-0.039687566,-0.036144578
12/06/2017,0.001032378,0.032196413,-0.032748785,-0.024390244
09/06/2017,0.007240288,0.02277737,-0.042374616,0.024390244
